Seja,Delovno telo,Tip,Datum
13. nujna seja, Komisija za nadzor javnih financ ,Seja,13. 11. 2019
11. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,12. 11. 2019
8. redna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,12. 11. 2019
16. redna seja, Odbor za finance ,Seja,12. 11. 2019
32. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,11. 11. 2019
6. redna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,11. 11. 2019
11. nujna seja, Odbor za zadeve Evropske unije ,Seja,8. 11. 2019
16. nujna seja, (skupna seja) Odbor za zdravstvo ,Seja,8. 11. 2019
17. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,8. 11. 2019
59. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,8. 11. 2019
10. redna seja, (skupna seja) Komisija za nadzor javnih financ ,Seja,8. 11. 2019
61. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,8. 11. 2019
44. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,8. 11. 2019
12. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,8. 11. 2019
8. nujna seja, Odbor za obrambo ,Seja,7. 11. 2019
12. nujna seja, Komisija za nadzor javnih financ ,Seja,7. 11. 2019
13. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,7. 11. 2019
5. redna seja, Pododbor za spremljanje romske tematike ,Seja,7. 11. 2019
5. redna seja, Odbor za zdravstvo ,Seja,6. 11. 2019
6. redna seja, Odbor za kulturo ,Seja,6. 11. 2019
19. nujna seja, Odbor za zdravstvo ,Seja,6. 11. 2019
60. redna seja, Odbor za zadeve Evropske unije ,Seja,6. 11. 2019
15. redna seja, Odbor za finance ,Seja,6. 11. 2019
12. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,6. 11. 2019
9. redna seja, Komisija za nadzor javnih financ ,Seja,5. 11. 2019
14. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,5. 11. 2019
5. redna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,4. 11. 2019
17. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,29. 10. 2019
5. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,28. 10. 2019
58. redna seja, Odbor za zadeve Evropske unije ,Seja,25. 10. 2019
4. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,24. 10. 2019
3. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,22. 10. 2019
10. nujna seja, Odbor za zadeve Evropske unije ,Seja,21. 10. 2019
1. nujna seja, (skupna seja) Komisija za poslovnik ,Seja,21. 10. 2019
13. nujna seja, (skupna seja) Odbor za pravosodje ,Seja,21. 10. 2019
2. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,21. 10. 2019
14. nujna seja, (skupna seja) Odbor za gospodarstvo ,Seja,18. 10. 2019
57. redna seja, Odbor za zadeve Evropske unije ,Seja,18. 10. 2019
19. nujna seja," (skupna seja) Odbor za infrastrukturo, okolje in prostor ",Seja,18. 10. 2019
22. nujna seja, Odbor za finance ,Seja,18. 10. 2019
1. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,18. 10. 2019
20. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,18. 10. 2019
2. nujna seja, Komisija za narodni skupnosti ,Seja,17. 10. 2019
4. redna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,17. 10. 2019
12. redna seja, Odbor za pravosodje ,Seja,17. 10. 2019
23. nujna seja, (skupna seja) Odbor za finance ,Seja,17. 10. 2019
12. nujna seja, (skupna seja) Odbor za pravosodje ,Seja,17. 10. 2019
15. redna seja, Mandatno-volilna komisija ,Seja,17. 10. 2019
42. redna seja, Odbor za zunanjo politiko ,Seja,16. 10. 2019
13. nujna seja, Odbor za gospodarstvo ,Seja,16. 10. 2019
11. nujna seja, Komisija za nadzor javnih financ ,Seja,16. 10. 2019
15. nujna seja, Odbor za zunanjo politiko ,Seja,16. 10. 2019
21. nujna seja, Odbor za finance ,Seja,16. 10. 2019
17. nujna seja, Odbor za zdravstvo ,Seja,15. 10. 2019
4. nujna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,15. 10. 2019
6. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,15. 10. 2019
30. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,14. 10. 2019
31. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,14. 10. 2019
20. nujna seja, Odbor za finance ,Seja,11. 10. 2019
43. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,11. 10. 2019
56. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,11. 10. 2019
18. nujna seja, Odbor za zdravstvo ,Seja,11. 10. 2019
9. nujna seja, Odbor za kulturo ,Seja,11. 10. 2019
7. nujna seja, Odbor za obrambo ,Seja,11. 10. 2019
3. nujna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,10. 10. 2019
17. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,10. 10. 2019
29. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,10. 10. 2019
18. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,10. 10. 2019
14. nujna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,9. 10. 2019
9. nujna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,9. 10. 2019
15. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,9. 10. 2019
11. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,9. 10. 2019
9. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,9. 10. 2019
14. redna seja, Mandatno-volilna komisija ,Seja,9. 10. 2019
15. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,9. 10. 2019
11. redna seja, Odbor za pravosodje ,Seja,8. 10. 2019
14. redna seja, Odbor za finance ,Seja,8. 10. 2019
3. redna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,7. 10. 2019
11. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,4. 10. 2019
55. redna seja, Odbor za zadeve Evropske unije ,Seja,4. 10. 2019
6. nujna seja, Odbor za obrambo ,Seja,4. 10. 2019
4. redna seja, Odbor za zdravstvo ,Seja,3. 10. 2019
12. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,3. 10. 2019
10. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,3. 10. 2019
15. nujna seja, Odbor za zdravstvo ,Seja,3. 10. 2019
13. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,3. 10. 2019
19. nujna seja, Odbor za finance ,Seja,2. 10. 2019
9. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,2. 10. 2019
8. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,1. 10. 2019
14. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,1. 10. 2019
16. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,1. 10. 2019
4. redna seja, Pododbor za spremljanje romske tematike ,Seja,27. 9. 2019
8. nujna seja, Odbor za kulturo ,Seja,27. 9. 2019
18. nujna seja, Odbor za finance ,Seja,27. 9. 2019
54. redna seja, Odbor za zadeve Evropske unije ,Seja,27. 9. 2019
28. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,26. 9. 2019
9. nujna seja, Mandatno-volilna komisija ,Seja,25. 9. 2019
7. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,20. 9. 2019
53. redna seja, Odbor za zadeve Evropske unije ,Seja,20. 9. 2019
7. redna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,20. 9. 2019
6. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,19. 9. 2019
3. redna seja, Pododbor za spremljanje romske tematike ,Seja,19. 9. 2019
3. redna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,19. 9. 2019
13. redna seja, Mandatno-volilna komisija ,Seja,19. 9. 2019
7. redna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,18. 9. 2019
5. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,18. 9. 2019
17. nujna seja, Odbor za finance ,Seja,18. 9. 2019
5. nujna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,18. 9. 2019
13. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,18. 9. 2019
41. redna seja, Odbor za zunanjo politiko ,Seja,18. 9. 2019
3. nujna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,17. 9. 2019
6. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,16. 9. 2019
40. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,13. 9. 2019
52. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,13. 9. 2019
10. redna seja, Odbor za pravosodje ,Seja,13. 9. 2019
15. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,13. 9. 2019
8. redna seja, Komisija za nadzor javnih financ ,Seja,12. 9. 2019
6. redna seja, Odbor za gospodarstvo ,Seja,12. 9. 2019
5. nujna seja, Odbor za obrambo ,Seja,12. 9. 2019
10. nujna seja, Komisija za nadzor javnih financ ,Seja,12. 9. 2019
6. redna seja, Odbor za obrambo ,Seja,11. 9. 2019
10. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,11. 9. 2019
11. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,11. 9. 2019
1. nujna seja, Komisija za narodni skupnosti ,Seja,11. 9. 2019
13. redna seja, Odbor za finance ,Seja,10. 9. 2019
12. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,10. 9. 2019
12. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,10. 9. 2019
51. redna seja, Odbor za zadeve Evropske unije ,Seja,6. 9. 2019
16. nujna seja, Odbor za finance ,Seja,6. 9. 2019
4. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,6. 9. 2019
3. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,5. 9. 2019
5. redna seja, Odbor za gospodarstvo ,Seja,5. 9. 2019
15. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,5. 9. 2019
9. nujna seja, Komisija za nadzor javnih financ ,Seja,4. 9. 2019
10. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,4. 9. 2019
14. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,4. 9. 2019
11. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,4. 9. 2019
14. nujna seja, Odbor za zdravstvo ,Seja,3. 9. 2019
14. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,3. 9. 2019
13. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,27. 8. 2019
8. nujna seja, Odbor za zadeve Evropske unije ,Seja,25. 7. 2019
16. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,17. 7. 2019
11. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,17. 7. 2019
14. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,15. 7. 2019
50. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,12. 7. 2019
39. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,12. 7. 2019
5. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,11. 7. 2019
2. redna seja, Pododbor za spremljanje romske tematike ,Seja,10. 7. 2019
8. nujna seja, Mandatno-volilna komisija ,Seja,9. 7. 2019
13. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,8. 7. 2019
5. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,8. 7. 2019
15. nujna seja, Odbor za finance ,Seja,8. 7. 2019
49. redna seja, Odbor za zadeve Evropske unije ,Seja,5. 7. 2019
1. srečanje, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,4. 7. 2019
8. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,4. 7. 2019
13. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,4. 7. 2019
7. nujna seja, Mandatno-volilna komisija ,Seja,4. 7. 2019
4. redna seja, Komisija za poslovnik ,Seja,3. 7. 2019
26. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,3. 7. 2019
1. redna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,3. 7. 2019
13. nujna seja, Odbor za zunanjo politiko ,Seja,3. 7. 2019
38. redna seja, Odbor za zunanjo politiko ,Seja,3. 7. 2019
2. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,2. 7. 2019
4. redna seja, Odbor za gospodarstvo ,Seja,2. 7. 2019
12. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,2. 7. 2019
1. redna seja, Pododbor za spremljanje romske tematike ,Seja,2. 7. 2019
13. nujna seja, Odbor za zdravstvo ,Seja,1. 7. 2019
15. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,1. 7. 2019
12. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,28. 6. 2019
12. redna seja, Odbor za finance ,Seja,28. 6. 2019
9. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,27. 6. 2019
7. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,27. 6. 2019
10. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,27. 6. 2019
12. redna seja, Mandatno-volilna komisija ,Seja,27. 6. 2019
3. redna seja, Odbor za zdravstvo ,Seja,26. 6. 2019
10. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,26. 6. 2019
2. redna seja, Ustavna komisija ,Seja,26. 6. 2019
10. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,26. 6. 2019
48. redna seja, Odbor za zadeve Evropske unije ,Seja,21. 6. 2019
14. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,17. 6. 2019
11. nujna seja, Odbor za pravosodje ,Seja,17. 6. 2019
37. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,14. 6. 2019
47. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,14. 6. 2019
25. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,14. 6. 2019
9. redna seja," (skupna seja) Odbor za delo, družino, socialne zadeve in invalide ",Seja,13. 6. 2019
6. redna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,13. 6. 2019
6. redna seja," (skupna seja) Komisija za peticije, človekove pravice in enake možnosti ",Seja,13. 6. 2019
4. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,13. 6. 2019
1. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,13. 6. 2019
11. redna seja, Mandatno-volilna komisija ,Seja,13. 6. 2019
1. redna seja, Ustavna komisija ,Seja,12. 6. 2019
12. nujna seja," (skupna seja) Odbor za infrastrukturo, okolje in prostor ",Seja,12. 6. 2019
11. nujna seja," (skupna seja) Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,12. 6. 2019
11. nujna seja, Odbor za gospodarstvo ,Seja,12. 6. 2019
9. redna seja, Odbor za pravosodje ,Seja,12. 6. 2019
36. redna seja, Odbor za zunanjo politiko ,Seja,12. 6. 2019
13. nujna seja," (skupna seja) Odbor za infrastrukturo, okolje in prostor ",Seja,11. 6. 2019
11. redna seja, Odbor za finance ,Seja,11. 6. 2019
7. nujna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,11. 6. 2019
9. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,7. 6. 2019
46. redna seja, Odbor za zadeve Evropske unije ,Seja,7. 6. 2019
3. nujna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,6. 6. 2019
12. nujna seja," (skupna seja) Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,5. 6. 2019
24. nujna seja," (skupna seja) Odbor za delo, družino, socialne zadeve in invalide ",Seja,5. 6. 2019
4. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,5. 6. 2019
9. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,5. 6. 2019
8. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,5. 6. 2019
10. redna seja, Odbor za finance ,Seja,5. 6. 2019
11. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,5. 6. 2019
9. redna seja," (skupna seja na podlagi 14. člena Pravilnika o mednarodni dejavnosti DZ) Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,4. 6. 2019
5. redna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,4. 6. 2019
11. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,4. 6. 2019
7. redna seja, Komisija za nadzor javnih financ ,Seja,31. 5. 2019
35. redna seja, Odbor za zunanjo politiko ,Seja,31. 5. 2019
45. redna seja, Odbor za zadeve Evropske unije ,Seja,31. 5. 2019
3. redna seja, Komisija za poslovnik ,Seja,30. 5. 2019
8. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,30. 5. 2019
10. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,30. 5. 2019
10. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,29. 5. 2019
10. nujna seja," (skupna seja) Odbor za infrastrukturo, okolje in prostor ",Seja,29. 5. 2019
10. nujna seja," (skupna seja) Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,29. 5. 2019
10. nujna seja, Odbor za pravosodje ,Seja,29. 5. 2019
44. redna seja, Odbor za zadeve Evropske unije ,Seja,24. 5. 2019
12. nujna seja, Odbor za zunanjo politiko ,Seja,20. 5. 2019
5. redna seja, Komisija za narodni skupnosti ,Seja,17. 5. 2019
33. redna seja, Odbor za zunanjo politiko ,Seja,17. 5. 2019
43. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,17. 5. 2019
34. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,17. 5. 2019
14. nujna seja, Odbor za finance ,Seja,17. 5. 2019
13. nujna seja, Odbor za finance ,Seja,16. 5. 2019
5. redna seja, Odbor za obrambo ,Seja,16. 5. 2019
5. redna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,16. 5. 2019
10. redna seja, Mandatno-volilna komisija ,Seja,16. 5. 2019
32. redna seja, Odbor za zunanjo politiko ,Seja,15. 5. 2019
9. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,15. 5. 2019
8. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,15. 5. 2019
10. nujna seja, Odbor za gospodarstvo ,Seja,15. 5. 2019
9. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,15. 5. 2019
31. redna seja, Odbor za zunanjo politiko ,Seja,15. 5. 2019
8. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,14. 5. 2019
30. redna seja, Odbor za zunanjo politiko ,Seja,14. 5. 2019
2. redna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,10. 5. 2019
5. redna seja, Odbor za kulturo ,Seja,10. 5. 2019
29. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,10. 5. 2019
42. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,10. 5. 2019
9. nujna seja, Odbor za pravosodje ,Seja,10. 5. 2019
4. redna seja, Odbor za obrambo ,Seja,9. 5. 2019
7. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,9. 5. 2019
6. redna seja, Komisija za nadzor javnih financ ,Seja,9. 5. 2019
23. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,9. 5. 2019
11. nujna seja, Odbor za zunanjo politiko ,Seja,8. 5. 2019
8. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,8. 5. 2019
9. redna seja, Odbor za finance ,Seja,8. 5. 2019
8. redna seja, Odbor za pravosodje ,Seja,8. 5. 2019
2. redna seja, Odbor za zdravstvo ,Seja,8. 5. 2019
12. nujna seja, Odbor za finance ,Seja,8. 5. 2019
9. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,8. 5. 2019
7. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,7. 5. 2019
22. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,7. 5. 2019
3. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,26. 4. 2019
41. redna seja, Odbor za zadeve Evropske unije ,Seja,26. 4. 2019
28. redna seja, Odbor za zunanjo politiko ,Seja,25. 4. 2019
9. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,25. 4. 2019
4. redna seja, Odbor za kulturo ,Seja,24. 4. 2019
11. nujna seja, Odbor za finance ,Seja,24. 4. 2019
7. nujna seja, (skupna seja) Odbor za kulturo ,Seja,24. 4. 2019
4. nujna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,24. 4. 2019
10. nujna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,24. 4. 2019
8. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,23. 4. 2019
12. nujna seja, (skupna seja) Odbor za zdravstvo ,Seja,23. 4. 2019
8. nujna seja, (skupna seja) Komisija za nadzor javnih financ ,Seja,23. 4. 2019
9. nujna seja, (skupna seja) Odbor za gospodarstvo ,Seja,23. 4. 2019
21. nujna seja," (skupna seja) Odbor za delo, družino, socialne zadeve in invalide ",Seja,23. 4. 2019
40. redna seja, Odbor za zadeve Evropske unije ,Seja,19. 4. 2019
11. nujna seja, Odbor za zdravstvo ,Seja,19. 4. 2019
8. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,18. 4. 2019
20. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,18. 4. 2019
19. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,17. 4. 2019
18. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,17. 4. 2019
6. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,16. 4. 2019
6. nujna seja, Odbor za zadeve Evropske unije ,Seja,12. 4. 2019
1. redna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,12. 4. 2019
39. redna seja, Odbor za zadeve Evropske unije ,Seja,12. 4. 2019
4. redna seja, (skupna seja) Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,11. 4. 2019
26. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,11. 4. 2019
27. redna seja, Odbor za zunanjo politiko ,Seja,11. 4. 2019
3. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,11. 4. 2019
9. redna seja, Mandatno-volilna komisija ,Seja,11. 4. 2019
8. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,10. 4. 2019
8. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,10. 4. 2019
25. redna seja, Odbor za zunanjo politiko ,Seja,10. 4. 2019
4. redna seja, Komisija za narodni skupnosti ,Seja,9. 4. 2019
7. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,9. 4. 2019
24. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,5. 4. 2019
4. nujna seja, Odbor za obrambo ,Seja,5. 4. 2019
38. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,5. 4. 2019
7. nujna seja, Komisija za nadzor javnih financ ,Seja,4. 4. 2019
8. redna seja, Odbor za finance ,Seja,4. 4. 2019
17. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,3. 4. 2019
8. nujna seja, Odbor za gospodarstvo ,Seja,3. 4. 2019
6. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,3. 4. 2019
7. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,3. 4. 2019
37. redna seja, Odbor za zadeve Evropske unije ,Seja,29. 3. 2019
6. nujna seja, Odbor za kulturo ,Seja,28. 3. 2019
3. nujna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,27. 3. 2019
10. nujna seja, Odbor za zdravstvo ,Seja,25. 3. 2019
6. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,25. 3. 2019
2. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,25. 3. 2019
