Seja,Delovno telo,Tip,Datum
10. redna seja, Preiskovalna komisija o zagotavljanju zaščitne opreme ter ukrepih institucij in nosilcev javnih funkcij za zajezitev širjenja bolezni COVID-19 od 1. 2. 2020 do odreditve predmetne parlamentarne preiskave ,Seja,29. 11. 2021
124. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,26. 11. 2021
5. redna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,26. 11. 2021
23. redna seja, (skupna seja) Komisija za nadzor javnih financ ,Seja,26. 11. 2021
123. redna seja, Odbor za zadeve Evropske unije ,Seja,26. 11. 2021
65. nujna seja," (skupna seja) Odbor za delo, družino, socialne zadeve in invalide ",Seja,25. 11. 2021
41. nujna seja," (skupna seja) Odbor za izobraževanje, znanost, šport in mladino ",Seja,25. 11. 2021
40. redna seja, Odbor za finance ,Seja,25. 11. 2021
24. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,25. 11. 2021
66. nujna seja, (skupna seja) Odbor za zdravstvo ,Seja,25. 11. 2021
41. redna seja, Odbor za finance ,Seja,24. 11. 2021
52. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,24. 11. 2021
51. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,24. 11. 2021
37. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,24. 11. 2021
40. nujna seja, Odbor za gospodarstvo ,Seja,23. 11. 2021
65. nujna seja, Odbor za zdravstvo ,Seja,20. 11. 2021
64. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,18. 11. 2021
66. nujna seja, Odbor za finance ,Seja,18. 11. 2021
24. nujna seja, Mandatno-volilna komisija ,Seja,16. 11. 2021
50. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,15. 11. 2021
65. nujna seja, Odbor za finance ,Seja,13. 11. 2021
4. redna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,12. 11. 2021
122. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,12. 11. 2021
57. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,12. 11. 2021
28. nujna seja, (skupna seja) Odbor za obrambo ,Seja,12. 11. 2021
96. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,12. 11. 2021
64. nujna seja, Odbor za finance ,Seja,12. 11. 2021
31. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,11. 11. 2021
30. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,11. 11. 2021
4. redna seja," Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij za finančno neustrezne ukrepe in sum neupravičenega omejevanja pravic pri izvajanju ukrepov, povezanih z epidemijo nalezljive bolezni COVID-19 ",Seja,11. 11. 2021
36. redna seja, Mandatno-volilna komisija ,Seja,11. 11. 2021
62. nujna seja, Odbor za zdravstvo ,Seja,10. 11. 2021
9. redna seja, Preiskovalna komisija o zagotavljanju zaščitne opreme ter ukrepih institucij in nosilcev javnih funkcij za zajezitev širjenja bolezni COVID-19 od 1. 2. 2020 do odreditve predmetne parlamentarne preiskave ,Seja,10. 11. 2021
33. redna seja, Odbor za pravosodje ,Seja,10. 11. 2021
12. redna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,10. 11. 2021
20. redna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,9. 11. 2021
95. redna seja, Odbor za zunanjo politiko ,Seja,9. 11. 2021
39. nujna seja, (skupna seja) Odbor za gospodarstvo ,Seja,8. 11. 2021
49. nujna seja," (skupna seja) Odbor za infrastrukturo, okolje in prostor ",Seja,8. 11. 2021
3. redna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,5. 11. 2021
63. nujna seja, Odbor za zdravstvo ,Seja,5. 11. 2021
35. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,5. 11. 2021
36. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,5. 11. 2021
64. nujna seja, Odbor za zdravstvo ,Seja,5. 11. 2021
121. redna seja, Odbor za zadeve Evropske unije ,Seja,5. 11. 2021
36. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,4. 11. 2021
27. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,4. 11. 2021
62. nujna seja," (skupna seja) Odbor za delo, družino, socialne zadeve in invalide ",Seja,4. 11. 2021
48. nujna seja," (skupna seja) Odbor za infrastrukturo, okolje in prostor ",Seja,4. 11. 2021
17. redna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,4. 11. 2021
39. redna seja, Odbor za finance ,Seja,3. 11. 2021
23. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,3. 11. 2021
63. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,3. 11. 2021
32. redna seja, Odbor za pravosodje ,Seja,2. 11. 2021
17. redna seja, Odbor za gospodarstvo ,Seja,2. 11. 2021
120. redna seja, Odbor za zadeve Evropske unije ,Seja,29. 10. 2021
22. redna seja, Komisija za nadzor javnih financ ,Seja,28. 10. 2021
18. redna seja, Odbor za obrambo ,Seja,28. 10. 2021
15. nujna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,28. 10. 2021
