xml:id,count
JanezMadžar,1
JanezMagyar,1
JanezMalačič,1
JanezMohorič,1
JanezMoškrič,90
JanezMoščkrič,1
JanezPodržaj,1
JanezPogorelec,3
JanezPoklukar,50
JanezPortir,1
JanezPosedi,21
JanezRakar,1
JanezSnoj,1
JanezSodržnik,2
JanezStarman,1
JanezStušek,11
JanezSušnik,1
JanezUrbanc,3
JanezŽakelj,22
JanezŽlak,13
JaniIvanuš,1
JaniIvanuša,281
JaniJankoMöderndorfer,1
JaniMödderndorfer,1
JaniMöderdorfer,1
JaniMöderendorfer,1
JaniMöderndofer,5
JaniMöderndorfer,824
JaniMőderndorfer,3
JaniPrednik,97
JaniPrednnik,1
Janimöderndorfer,3
JanjaBogataj,7
JanjaGarbasHočevar,2
JanjaGarvasHočevar,49
JanjaGavrasHočevr,1
JanjaHeferle,1
JanjaPerme,1
JanjaPlevnik,2
JanjaSluga,532
JanjaSosič,10
JanjaTuršič,4
JanjaVrečičPerhavec,2
JanjaZalar,1
JankoCafuta,2
JankoKramžar,1
JankoMarinko,2
JankoMöderndorfer,2
JankoPlesec,3
JankoRozman,4
JankoRožič,1
JankoStojkovič,1
JankoUrbanc,1
JanošKern,12
JanušKern,1
JanŠkern,1
JanŠkoberne,5
JasminaKlopčič,1
JasminaRakitaCencelj,3
JasnaGabrič,2
JasnaMurgel,1
JasnaČukRupnik,3
JasnaŠegan,1
JašaJenull,2
JašaVrabec,3
JelenaAleksić,4
JelenaKljajić,3
JelinčičPlemeniti,2
JelkaGodec,146
JelkaPirkovič,5
JelkaZorn,1
JelkoKacin,4
JercaKorče,160
JerenejŠtromajer,1
JericaLipec,1
JernejBenedik,1
JernejDolinšek,2
JernejDrofenik,2
JernejMüller,1
JernejMűller,1
JernejPikalo,31
JernejRedek,3
JernejSalecl,1
JernejTašnerVatovec,1
JernejTovornik,1
JernejVrovec,2
JernejVrtovec,356
JernejaBergoč,1
JernejaFarkašLainščak,14
JernejaFarkašLainšček,1
JernejaJugJerše,7
JernejaMaček,1
JernejaMolan,1
JernejČokl,2
JernejŠtromajer,58
JernejŠček,1
JernerVrtovec,4
JernerŠtromajer,1
JorgHodalič,2
JorgKristijanPetrovič,2
JosipLukenda,11
JosipMihalic,1
JosipMihalić,1
JoštJakša,2
JoštŽagar,1
JožaHabernik,1
JožeBaškovič,2
JožeBlajs,1
JožeBogataj,4
JožeDrofenik,2
JožeDuhovnik,4
JožeGolobič,2
JožeHabernik,2
JožeHobič,2
JožeHorvat,4
JožeHribar,3
JožeJaklin,3
JožeJerič,1
JožeKonec,2
JožeKozina,3
JožeLenar,2
JožeLenart,701
JožeMermal,5
JožeMoškrič,1
JožePodgorše,1
JožePodgoršek,139
JožePodržaj,7
JožePogoršek,2
JožePosedi,1
JožeRamovš,3
JožeRovan,1
JožeSambt,1
JožeSenica,1
JožeSmole,2
JožeSmrdel,6
JožeSodja,1
JožeTaler,1
JožeTank,1
JožeTanka,1
JožeTanko,263
JožeTurnšek,1
JožefDrofenik,7
JožefFicko,4
JožefHorva,1
JožefHorvat,648
JožefHorvatSandreli,3
JožefHrovat,1
JožefLenart,157
JožefPeterČesnik,2
JožekHorvat-Muc,2
JožekHorvat-muc,8
JožekHorvatMuc,2
JožicaMaučecZakotnik,6
JpžefHorvat,1
JuditVidaTornar,1
JuerFerjan,1
JulijanFortunat,3
JulijanČavdek,3
JureAnžin,1
JureDermastja,1
JureFerjan,79
JureGašparič,11
JureGašperič,1
JureKostanjšek,2
JureLeben,31
JureLeskovec,2
JureMarkič,1
JurePogačnik,15
JurePonikvar,2
JureVeteršek,1
JureVršnak,1
JurijFurst,1
JurijFürst,1
JurijGroznik,13
JurijKrpan,1
JurijLep,190
JurijToplak,3
JurijŽitek,1
JurijŽitko,6
JózsefGyörkös,8
JózsefVégi,1
KajaLipnikVehovar,1
KajaŠirok,1
KalaUrh,2
KarelErjavec,1
KarelLipič,23
KarelViktorErjavec,1
KarinaDitz,1
KarlErjavec,9
KarlLipič,1
KarlViktorEjravec,1
KarlViktorErjavec,40
KarlaPintar,1
KarlaUrh,189
KarmenFurman,253
KarmenKozmusFerjan,3
KarmenLebeGrajf,3
KarmenNovak,1
KarmenRenčelj,1
KarmenStariha,4
KatarinaBervarSternad,7
KatarinaBervarStrgar,1
KatarinaBervarStrnad,2
KatarinaKralj,51
KatarinaMohar,1
KatarinaPrebil,2
KatarinaŠteblaj,2
KatinModic,1
KatjaBožič,2
KatjaBuda,1
KatjaDolšak,1
KatjaDolžak,1
KatjaHuš,6
KatjaJerman,1
KatjaLautar,11
KatjaLauter,1
KatjaLavtar,4
KatjaLeitinger,3
KatjaPepelnak,1
KatjaPodbevšek,1
KatjaPoglajenRučigaj,3
KatjaRiharBajuk,12
KatjaStušek,1
KatjaTrilerVrtovec,17
KatjaTriller,1
KatjaTrillerVrtovec,36
KatjaZabukovecKerim,1
KatjaZabukovecKerin,2
KatjaČič,4
KatjušaPopović,1
KatjušaPopovič,1
KatrinModic,1
KepaFranc,1
KhalidAli,1
KimKomljanec,1
KlaraMihaldinec,1
KlaraSkubicErmenc,1
KlavdijaKobalStraus,2
KlavdijaKobalŠtaus,1
KlavdijaPoropat,3
KlavdijaŠtimec,2
KlemenBoštjančič,2
KlemenDvornik,8
KlemenGrošelj,39
KlemenJaklič,2
KlemenKošir,1
KlemenMarkeš,8
KlemenMiklavič,1
KlemenPeran,6
KlemenPotisek,2
KlemenŠuligoj,1
KonradKuštrin,1
KordišMiha,3
KornelijaMarzel,6
KornelijaMrzel,1
KozmaAhačič,2
KralaUrh,2
KrešimirŽagar,2
KristijanBriški,2
KristijanLovrak,1
KristijanMlekuš,2
KristijanMusekLešnik,2
KristinaKotnikŠumah,5
KristinaModic,2
KristinaŠteblaj,106
KristjanMagdič,1
