xml:id	count	correct_string
BlažPlazar	1	BlažPlazar
BlažZavršnik	1	BlažZavršnik
Bogataj	1	unknown-F
BogdanLipovšek	3	BogdanLipovšek
BogdanProdan	1	BogdanProdan
BogdanVnučec	1	BogomirVnučec
BogdanŠtepec	2	BogdanŠtepec
BogomilVnučec	1	BogomirVnučec
BogomirVnučec	89	BogomirVnučec
BogomorVnučec	1	BogomirVnučec
BojanBodkrajšek	1	BojanPodkrajšek
BojanBorovnik	2	BojanBorovnik
BojanDejak	1	BojanDejak
BojanDoblekar	1	BojanDoblekar
BojanGantar	1	BojanGantar
BojanHajnak	1	BojanHajnak
BojanIvanc	1	BojanIvanc
BojanKekec	66	BojanKekec
BojanKontič	1	BojanKontič
BojanKumer	66	BojanKumer
BojanKurež	6	BojanKumer
BojanMajcen	7	BojanMajcen
BojanMuršič	1	BojanaMuršič
BojanOblak	4	BojanOblak
BojanPahor	5	BojanPahor
BojanPodgrajšek	1	BojanPodkrajšek
BojanPodkrajšek	1945	BojanPodkrajšek
BojanPodkrajšekk	2	BojanPodkrajšek
BojanPodkrajškek	1	BojanPodkrajšek
BojanPodrajšek	1	BojanPodkrajšek
BojanPograjc	2	BojanPograjc
BojanPokrajšek	1	BojanPodkrajšek
BojanPopovič	1	BojanPopovič
BojanPočivalšek	4	BojanPočivalšek
BojanPožar	1	BojanPožar
BojanRežon	1	BojanRežun
BojanRežun	19	BojanRežun
BojanRošer	2	BojanRošer
BojanSkomina	1	BojanSkomina
BojanSuvorov	29	BojanSuvorov
BojanVerbič	3	BojanVerbič
BojanVeselinovič	22	BojanVeselinovič
BojanZalar	2	BojanZalar
BojanaBeović	4	BojanaBeović
BojanaMuršić	1	BojanaMuršič
BojanaMuršič	274	BojanaMuršič
BojanaPodkrajšek	1	BojanPodkrajšek
BojanaPotočan	45	BojanaPotočan
BojanaPotočar	1	BojanaPotočan
BojanŠvigelj	2	BojanŠvigelj
BojanŽlender	3	BojanŽlender
BojanŽvikart	1	BojanŽvikart
BojkoJerman	1	BojkoJerman
BorisDoblekar	402	BorisDoblekar
BorisDoblkear	2	BorisDoblekar
BorisDular	4	BorisDular
BorisGrigić	4	BorisGrigić
BorisIvčič	2	BorisIvčič
BorisJesih	1	BorisJesih
BorisKavur	2	BorisKavur
BorisKoprivnikar	7	BorisKoprivnikar
BorisKosec	3	BorisKosec
BorisMatič	2	BorisMatič
BorisMedica	1	BorisMedica
BorisMihalj	3	BorisMihalj
BorisMunišič	2	BorisMunišič
BorisNovak	12	BorisNovak
BorisOrešek	5	BorisOrešek
